iter	Logloss
0	0.6495306533
1	0.6112686525
2	0.5798336373
3	0.5504284148
4	0.5251751347
5	0.5025821791
6	0.4846015307
7	0.4674970356
8	0.4535588268
9	0.4415655136
10	0.430251994
11	0.4203950205
12	0.4121836306
13	0.4043826886
14	0.3983121962
15	0.3925896967
16	0.3874722325
17	0.3828851204
18	0.3793591292
19	0.3762246196
20	0.3727541202
21	0.3699739708
22	0.3677430153
23	0.3652202469
24	0.3638461741
25	0.361919873
26	0.3600814641
27	0.3589701421
28	0.3575017934
29	0.3563963627
30	0.3550224425
31	0.3541294972
32	0.3534979533
33	0.3524387464
34	0.351660626
35	0.350703293
36	0.3502784362
37	0.3495355783
38	0.3489929175
39	0.3485941004
40	0.3481398918
41	0.3478909543
42	0.3475442393
43	0.3470975892
44	0.3469916105
45	0.3464691026
46	0.3460375142
47	0.3457298142
48	0.3453841342
49	0.3451891892
50	0.3448222382
51	0.3444728266
52	0.3443232177
53	0.3441725659
54	0.3440776345
55	0.3438289999
56	0.3437851259
57	0.3435225363
58	0.3433089424
59	0.3431810438
60	0.3429301542
61	0.3427833148
62	0.342648784
63	0.3425332541
64	0.342409637
65	0.3422606199
66	0.3420783396
67	0.3420719198
68	0.3419468432
69	0.341815995
70	0.341733646
71	0.3415912507
72	0.3414433122
73	0.3413035308
74	0.3411875918
75	0.3411411258
76	0.3410310942
77	0.3410048995
78	0.3408212661
79	0.340737071
80	0.3406117185
81	0.3404251086
82	0.3403390018
83	0.3402248778
84	0.3402163871
85	0.3401250936
86	0.3400412555
87	0.3399952397
88	0.3398774589
89	0.3398273944
90	0.3397460029
91	0.3396477663
92	0.3395602193
93	0.3393982131
94	0.3392774823
95	0.3392626941
96	0.3391733827
97	0.3390576055
98	0.3390575598
99	0.3389461453
100	0.3388797169
101	0.3387902745
102	0.3386826325
103	0.3385813873
104	0.3385008722
105	0.3384078346
106	0.3384060941
107	0.338332483
108	0.3382857522
109	0.3382508147
110	0.3381624813
111	0.3381566193
112	0.3380726905
113	0.3380029006
114	0.3379316616
115	0.3378864561
116	0.3377904787
117	0.3376761523
118	0.3376051115
119	0.3375571302
120	0.3375056453
121	0.3374188144
122	0.3373787015
123	0.3373173366
124	0.3372504114
125	0.3371469377
126	0.3370942164
127	0.3370904857
128	0.3370863971
129	0.3370481092
130	0.3369419146
131	0.3368514268
132	0.3367915457
133	0.3367201926
134	0.336703328
135	0.336637171
136	0.3365913485
137	0.3365154175
138	0.3364402285
139	0.3363717956
140	0.3363661521
141	0.3362860585
142	0.3362484865
143	0.3361875468
144	0.3361465591
145	0.3361431682
146	0.3360578424
147	0.3359738803
148	0.3359029146
149	0.335834591
150	0.3357691035
151	0.3357102701
152	0.3356716364
153	0.3355988006
154	0.335568012
155	0.3355186676
156	0.3354077063
157	0.3353683672
158	0.3352847208
159	0.335244006
160	0.3351784196
161	0.3351013162
162	0.3350346709
163	0.334951271
164	0.3349182039
165	0.3347955047
166	0.3346886703
167	0.3346192093
168	0.3345529846
169	0.3344997379
170	0.3344547473
171	0.3343986469
172	0.3343813304
